sentence,label,words
Q：HoHo。入手。值得高兴一整年。    A：哈哈是吧,2,Q ： HoHo 。 入手 。 值得 高兴 一 整年 。 A ： 哈哈 是 吧
Q：HoHo。入手。值得高兴一整年。    A：真不错！,3,Q ： HoHo 。 入手 。 值得 高兴 一 整年 。 A ： 真不错 ！
Q：iOS7，越用越喜欢。挺好的    A：哈哈嗯呢,2,Q ： iOS7 ， 越用 越 喜欢 。 挺 好 的 A ： 哈哈 嗯 呢
Q：iOS7，越用越喜欢。挺好的    A：太酷了,3,Q ： iOS7 ， 越用 越 喜欢 。 挺 好 的 A ： 太酷 了
Q：唉。我好失望我好失望    A：心疼死了~,4,Q ： 唉 。 我 好 失望 我 好 失望 A ： 心疼 死 了 ~
Q：傍晚的雪国。日本北国风光，宛如一幅木刻。    A：呵呵~~,2,Q ： 傍晚 的 雪国 。 日本 北国风光 ， 宛如 一幅 木刻 。 A ： 呵呵 ~ ~
Q：傍晚的雪国。日本北国风光，宛如一幅木刻。    A：真棒！,3,Q ： 傍晚 的 雪国 。 日本 北国风光 ， 宛如 一幅 木刻 。 A ： 真棒 ！
Q：悲哀到尘埃里，然后开出花来。    A：是啊！难受！痛,4,Q ： 悲哀 到 尘埃 里 ， 然后 开出 花来 。 A ： 是 啊 ！ 难受 ！ 痛
Q：悲哀的不是我们活的都很累，悲哀的是我们以为这就是人生。    A：悲惨。。。,4,Q ： 悲哀 的 不是 我们 活 的 都 很 累 ， 悲哀 的 是 我们 以为 这 就是 人生 。 A ： 悲惨 。 。 。
Q：悲哀的不是我们活的都很累，悲哀的是我们以为这就是人生。    A：尼玛!!!,0,Q ： 悲哀 的 不是 我们 活 的 都 很 累 ， 悲哀 的 是 我们 以为 这 就是 人生 。 A ： 尼玛 ! ! !
Q：被特别在乎的人忽略，会很难过，而装做不在乎，会更难过。    A：唉，悲哀呀！,4,Q ： 被 特别 在乎 的 人 忽略 ， 会 很 难过 ， 而 装做 不在乎 ， 会 更 难过 。 A ： 唉 ， 悲哀 呀 ！
Q：被特别在乎的人忽略，会很难过，而装做不在乎，会更难过。    A：晕！怒！,0,Q ： 被 特别 在乎 的 人 忽略 ， 会 很 难过 ， 而 装做 不在乎 ， 会 更 难过 。 A ： 晕 ！ 怒 ！
Q：本来想学一把沧桑，结果令我更忧伤。    A：悲惨。。。,4,Q ： 本来 想 学 一把 沧桑 ， 结果 令 我 更 忧伤 。 A ： 悲惨 。 。 。
Q：比等待更难受的是，你连自己在等什么都不知道。    A：是啊，太苦闷了,4,Q ： 比 等待 更 难受 的 是 ， 你 连 自己 在 等 什么 都 不 知道 。 A ： 是 啊 ， 太 苦闷 了
Q：别人再好，关我什么事；我再不好，关别人什么事。    A：烦不烦！,1,Q ： 别人 再 好 ， 关 我 什么 事 ； 我 再 不好 ， 关 别人 什么 事 。 A ： 烦不烦 ！
Q：别人再好，关我什么事；我再不好，关别人什么事。    A：哼哼哼！！！,0,Q ： 别人 再 好 ， 关 我 什么 事 ； 我 再 不好 ， 关 别人 什么 事 。 A ： 哼哼 哼 ！ ！ ！
Q：不要逼我。你不给我个说法，我就要给你个说法    A：别扯了,1,Q ： 不要 逼 我 。 你 不 给 我 个 说法 ， 我 就要 给你个 说法 A ： 别扯 了
Q：不要逼我。你不给我个说法，我就要给你个说法    A：找骂啊！,0,Q ： 不要 逼 我 。 你 不 给 我 个 说法 ， 我 就要 给你个 说法 A ： 找 骂 啊 ！
Q：不要太把一个人放在心上因为在那个人的心里你或许什么都不是    A：讨厌讨厌讨厌,1,Q ： 不要 太 把 一个 人 放在心上 因为 在 那个 人 的 心里 你 或许 什么 都 不是 A ： 讨厌 讨厌 讨厌
Q：赤裸裸的胁迫，朝谁报警去？    A：令人发指啊令人发指！！,0,Q ： 赤裸裸 的 胁迫 ， 朝 谁 报警 去 ？ A ： 令人发指 啊 令人发指 ！ ！
Q：赤裸裸的胁迫，朝谁报警去？    A：太离谱咯,1,Q ： 赤裸裸 的 胁迫 ， 朝 谁 报警 去 ？ A ： 太 离谱 咯
Q：春节啦！庆祝一下！热闹热闹！哈哈！    A：嘿嘿…,2,Q ： 春节 啦 ！ 庆祝 一下 ！ 热闹 热闹 ！ 哈哈 ！ A ： 嘿嘿 …
Q：春节啦！庆祝一下！热闹热闹！哈哈！    A：可以可以！听起来很不赖啊！,3,Q ： 春节 啦 ！ 庆祝 一下 ！ 热闹 热闹 ！ 哈哈 ！ A ： 可以 可以 ！ 听 起来 很 不赖 啊 ！
Q：带偶来超市，又不给买肉肉吃！恨你！    A：尼玛..,0,Q ： 带 偶来 超市 ， 又 不 给 买 肉 肉 吃 ！ 恨 你 ！ A ： 尼玛 ..
Q：带偶来超市，又不给买肉肉吃！恨你！    A：真恶心…真恶心…,1,Q ： 带 偶来 超市 ， 又 不 给 买 肉 肉 吃 ！ 恨 你 ！ A ： 真 恶心 … 真 恶心 …
Q：当北京象今天这样万里晴空时，这个城市充满着魅力。    A：很不错的！,3,Q ： 当 北京 象 今天 这样 万里晴空 时 ， 这个 城市 充满 着 魅力 。 A ： 很 不错 的 ！
Q：第一次带宝宝们出去玩，开心极了    A：挺好的，哈哈,3,Q ： 第一次 带 宝宝 们 出去玩 ， 开心 极了 A ： 挺 好 的 ， 哈哈
Q：第一次带宝宝们出去玩，开心极了    A：嘻嘻，抱抱,2,Q ： 第一次 带 宝宝 们 出去玩 ， 开心 极了 A ： 嘻嘻 ， 抱抱
Q：多么的希望七夕那天，睡醒就能收到这样一个礼物。！    A：嘿嘿！,2,Q ： 多么 的 希望 七夕 那天 ， 睡醒 就 能 收到 这样 一个 礼物 。 ！ A ： 嘿嘿 ！
Q：多么低调滴奢华呀。    A：好呀。不错、不错,3,Q ： 多么 低调 滴 奢华 呀 。 A ： 好 呀 。 不错 、 不错
Q：多么低调滴奢华呀。    A：开心吼吼,2,Q ： 多么 低调 滴 奢华 呀 。 A ： 开心 吼吼
Q：烦恼何物，不见其物。哈哈，就不见了。    A：哈哈…！,2,Q ： 烦恼 何物 ， 不见 其物 。 哈哈 ， 就 不见 了 。 A ： 哈哈 … ！
Q：烦恼何物，不见其物。哈哈，就不见了。    A：太扯了~,1,Q ： 烦恼 何物 ， 不见 其物 。 哈哈 ， 就 不见 了 。 A ： 太扯 了 ~
Q：飞机误点发的猪食，准备强忍眼泪，欢乐进餐。哈哈！    A：太缺德了,1,Q ： 飞机 误点 发 的 猪食 ， 准备 强忍 眼泪 ， 欢乐 进餐 。 哈哈 ！ A ： 太 缺德 了
Q：凤凰古城，千年一醉，太美了。    A：蛮好的,3,Q ： 凤凰古城 ， 千年 一醉 ， 太美 了 。 A ： 蛮 好 的
Q：凤凰古城，千年一醉，太美了。    A：嘻嘻~~,2,Q ： 凤凰古城 ， 千年 一醉 ， 太美 了 。 A ： 嘻嘻 ~ ~
Q：刚出生不久的北极熊baby，好小好Q啊＼(*′`)／    A：不错不错！！！,3,Q ： 刚出生 不久 的 北极熊 baby ， 好小好 Q 啊 ＼ ( * ′ ` ) ／ A ： 不错 不错 ！ ！ ！
Q：刚看见这张图我就想问，历史能容你虚构吗，虚构还叫历史吗？    A：确实很恶心！,1,Q ： 刚 看见 这 张图 我 就 想 问 ， 历史 能容 你 虚构 吗 ， 虚构 还 叫 历史 吗 ？ A ： 确实 很 恶心 ！
Q：各种垃圾短信，各种莫名电话。难道你穷疯了？惹得老子开骂。    A：去死吧！去死吧！,0,Q ： 各种 垃圾 短信 ， 各种 莫名 电话 。 难道 你 穷 疯 了 ？ 惹 得 老子 开 骂 。 A ： 去死吧 ！ 去死吧 ！
Q：各种垃圾短信，各种莫名电话。难道你穷疯了？惹得老子开骂。    A：讨厌讨厌…,1,Q ： 各种 垃圾 短信 ， 各种 莫名 电话 。 难道 你 穷 疯 了 ？ 惹 得 老子 开 骂 。 A ： 讨厌 讨厌 …
Q：跟男朋友手牵手逛街好开心！    A：嘿嘿。,2,Q ： 跟 男朋友 手牵手 逛街 好开心 ！ A ： 嘿嘿 。
Q：跟男朋友手牵手逛街好开心！    A：是呀，真的是好棒！,3,Q ： 跟 男朋友 手牵手 逛街 好开心 ！ A ： 是 呀 ， 真的 是 好 棒 ！
Q：故意歪头卖萌神马的很可耻啊。    A：嘻嘻。。,2,Q ： 故意 歪头 卖萌 神马 的 很 可耻 啊 。 A ： 嘻嘻 。 。
Q：哈哈，好欢乐的喵星人。    A：很不错噢。,3,Q ： 哈哈 ， 好 欢乐 的 喵 星人 。 A ： 很 不错 噢 。
Q：哈哈，好欢乐的喵星人。    A：开心开心哈哈,2,Q ： 哈哈 ， 好 欢乐 的 喵 星人 。 A ： 开心 开心 哈哈
Q：哈哈。！好贤惠啊！没有白养你。！    A：哈哈嗯嗯,2,Q ： 哈哈 。 ！ 好 贤惠 啊 ！ 没有 白养 你 。 ！ A ： 哈哈 嗯 嗯
Q：哈哈那时候头发很飘逸啊    A：挺好的，哈哈,3,Q ： 哈哈 那 时候 头发 很 飘逸 啊 A ： 挺 好 的 ， 哈哈
Q：哈哈少说十年没吃过了    A：哈哈！！,2,Q ： 哈哈 少说 十年 没吃过 了 A ： 哈哈 ！ ！
Q：哈哈少说十年没吃过了    A：还不错地说,3,Q ： 哈哈 少说 十年 没吃过 了 A ： 还 不错 地说
Q：好不容易早睡一回，结果半夜就醒了，坑哥啊！    A：好难过啊。,4,Q ： 好不容易 早睡 一回 ， 结果 半夜 就 醒 了 ， 坑哥 啊 ！ A ： 好 难过 啊 。
Q：好大一只萌货，瞧那小神态娇媚的。    A：赞~~~,3,Q ： 好大 一只 萌货 ， 瞧 那 小 神态 娇媚 的 。 A ： 赞 ~ ~ ~
Q：好精彩的魔术啊！内牛满面啊。    A：还不错地说,3,Q ： 好 精彩 的 魔术 啊 ！ 内牛 满面 啊 。 A ： 还 不错 地说
Q：好精彩的魔术啊！内牛满面啊。    A：嘿嘿。,2,Q ： 好 精彩 的 魔术 啊 ！ 内牛 满面 啊 。 A ： 嘿嘿 。
Q：好开心啊。这么多钱可以买好多好多好吃的了。    A：挺好！,3,Q ： 好开心 啊 。 这么 多钱 可以 买 好多好多 好吃 的 了 。 A ： 挺 好 ！
Q：好开心啊。这么多钱可以买好多好多好吃的了。    A：嘻嘻…,2,Q ： 好开心 啊 。 这么 多钱 可以 买 好多好多 好吃 的 了 。 A ： 嘻嘻 …
Q：好羡慕啊，一颗萝卜都能配出这么多的佳肴。    A：不错，是吧？,3,Q ： 好羡慕 啊 ， 一颗 萝卜 都 能 配出 这么 多 的 佳肴 。 A ： 不错 ， 是 吧 ？
Q：好羡慕啊，一颗萝卜都能配出这么多的佳肴。    A：捏哈哈~,2,Q ： 好羡慕 啊 ， 一颗 萝卜 都 能 配出 这么 多 的 佳肴 。 A ： 捏 哈哈 ~
Q：黑心奸商已经突破天际了啊    A：哎~~太悲哀了！,4,Q ： 黑心 奸商 已经 突破 天际 了 啊 A ： 哎 ~ ~ 太 悲哀 了 ！
Q：黑心奸商已经突破天际了啊    A：怒啊!,0,Q ： 黑心 奸商 已经 突破 天际 了 啊 A ： 怒 啊 !
Q：黑心奸商已经突破天际了啊    A：太可耻了,1,Q ： 黑心 奸商 已经 突破 天际 了 啊 A ： 太 可耻 了
Q：吉林大火，死伤这么多，该有人引咎辞职吧！    A：心疼死了~,4,Q ： 吉林 大火 ， 死伤 这么 多 ， 该 有人 引咎辞职 吧 ！ A ： 心疼 死 了 ~
Q：今年的四月：飘满地的樱花，好浪漫。    A：开心吧,2,Q ： 今年 的 四月 ： 飘 满地 的 樱花 ， 好 浪漫 。 A ： 开心 吧
Q：今年的四月：飘满地的樱花，好浪漫。    A：是真的很不错，真不想走了,3,Q ： 今年 的 四月 ： 飘 满地 的 樱花 ， 好 浪漫 。 A ： 是 真的 很 不错 ， 真 不想 走 了
Q：今天北京空气真好。幸福的感觉。    A：蛮好的,3,Q ： 今天 北京 空气 真 好 。 幸福 的 感觉 。 A ： 蛮 好 的
Q：今天麻麻早起带汪溜狗耶！开心开心曾开心！    A：超好的，,3,Q ： 今天 麻麻 早起 带 汪溜狗 耶 ！ 开心 开心 曾 开心 ！ A ： 超好 的 ，
Q：今天麻麻早起带汪溜狗耶！开心开心曾开心！    A：开心吧,2,Q ： 今天 麻麻 早起 带 汪溜狗 耶 ！ 开心 开心 曾 开心 ！ A ： 开心 吧
Q：今天是个好日子！阳光明媚，晴空万里……    A：不错真不错,3,Q ： 今天 是 个 好日子 ！ 阳光明媚 ， 晴空万里 … … A ： 不错 真不错
Q：今天是个好日子！阳光明媚，晴空万里……    A：哈哈！…,2,Q ： 今天 是 个 好日子 ！ 阳光明媚 ， 晴空万里 … … A ： 哈哈 ！ …
